model_id,model_family,target,feature,importance_type,importance_value,importance_rank,direction,direction_method,coefficient,standardized_coefficient,permutation_importance_mean,permutation_importance_std,notes
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,views_delta,model_native,-1.0,1,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,engagement_rate,model_native,-2.0,2,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,comment_rate,model_native,-3.0,3,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,video_age_days,model_native,-4.0,4,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,duration_bucket,model_native,-5.0,5,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,is_short,model_native,-6.0,6,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,alpha_score,model_native,-7.0,7,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,opportunity_score,model_native,-8.0,8,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,trend_burst_score,model_native,-9.0,9,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,evergreen_score,model_native,-10.0,10,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,packaging_problem_score,model_native,-11.0,11,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,metric_confidence_score,model_native,-12.0,12,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,channel_momentum_score,model_native,-13.0,13,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,channel_relative_success_score,model_native,-14.0,14,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,title_length_chars,model_native,-15.0,15,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,has_number,model_native,-16.0,16,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,has_question,model_native,-17.0,17,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,has_ai_word,model_native,-18.0,18,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,has_finance_word,model_native,-19.0,19,,,,,,,
linear_regularized-is_top_growth_7d-20260504T191601Z,linear_regularized,is_top_growth_7d,metadata_changed,model_native,-20.0,20,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,views_delta,model_native,-1.0,1,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,engagement_rate,model_native,-2.0,2,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,comment_rate,model_native,-3.0,3,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,video_age_days,model_native,-4.0,4,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,duration_bucket,model_native,-5.0,5,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,is_short,model_native,-6.0,6,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,alpha_score,model_native,-7.0,7,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,opportunity_score,model_native,-8.0,8,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,trend_burst_score,model_native,-9.0,9,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,evergreen_score,model_native,-10.0,10,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,packaging_problem_score,model_native,-11.0,11,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,metric_confidence_score,model_native,-12.0,12,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,channel_momentum_score,model_native,-13.0,13,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,channel_relative_success_score,model_native,-14.0,14,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,title_length_chars,model_native,-15.0,15,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,has_number,model_native,-16.0,16,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,has_question,model_native,-17.0,17,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,has_ai_word,model_native,-18.0,18,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,has_finance_word,model_native,-19.0,19,,,,,,,
random_forest-is_top_growth_7d-20260504T191601Z,random_forest,is_top_growth_7d,metadata_changed,model_native,-20.0,20,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,views_delta,model_native,-1.0,1,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,engagement_rate,model_native,-2.0,2,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,comment_rate,model_native,-3.0,3,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,video_age_days,model_native,-4.0,4,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,duration_bucket,model_native,-5.0,5,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,is_short,model_native,-6.0,6,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,alpha_score,model_native,-7.0,7,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,opportunity_score,model_native,-8.0,8,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,trend_burst_score,model_native,-9.0,9,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,evergreen_score,model_native,-10.0,10,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,packaging_problem_score,model_native,-11.0,11,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,metric_confidence_score,model_native,-12.0,12,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,channel_momentum_score,model_native,-13.0,13,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,channel_relative_success_score,model_native,-14.0,14,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,title_length_chars,model_native,-15.0,15,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,has_number,model_native,-16.0,16,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,has_question,model_native,-17.0,17,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,has_ai_word,model_native,-18.0,18,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,has_finance_word,model_native,-19.0,19,,,,,,,
shallow_tree-is_top_growth_7d-20260504T191601Z,shallow_tree,is_top_growth_7d,metadata_changed,model_native,-20.0,20,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,views_delta,model_native,-1.0,1,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,engagement_rate,model_native,-2.0,2,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,comment_rate,model_native,-3.0,3,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,video_age_days,model_native,-4.0,4,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,duration_bucket,model_native,-5.0,5,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,is_short,model_native,-6.0,6,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,alpha_score,model_native,-7.0,7,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,opportunity_score,model_native,-8.0,8,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,trend_burst_score,model_native,-9.0,9,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,evergreen_score,model_native,-10.0,10,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,packaging_problem_score,model_native,-11.0,11,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,metric_confidence_score,model_native,-12.0,12,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,channel_momentum_score,model_native,-13.0,13,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,channel_relative_success_score,model_native,-14.0,14,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,title_length_chars,model_native,-15.0,15,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,has_number,model_native,-16.0,16,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,has_question,model_native,-17.0,17,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,has_ai_word,model_native,-18.0,18,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,has_finance_word,model_native,-19.0,19,,,,,,,
random_forest-future_log_views_delta_7d-20260504T191601Z,random_forest,future_log_views_delta_7d,metadata_changed,model_native,-20.0,20,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,views_delta,model_native,-1.0,1,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,engagement_rate,model_native,-2.0,2,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,comment_rate,model_native,-3.0,3,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,video_age_days,model_native,-4.0,4,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,duration_bucket,model_native,-5.0,5,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,is_short,model_native,-6.0,6,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,alpha_score,model_native,-7.0,7,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,opportunity_score,model_native,-8.0,8,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,trend_burst_score,model_native,-9.0,9,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,evergreen_score,model_native,-10.0,10,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,packaging_problem_score,model_native,-11.0,11,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,metric_confidence_score,model_native,-12.0,12,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,channel_momentum_score,model_native,-13.0,13,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,channel_relative_success_score,model_native,-14.0,14,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,title_length_chars,model_native,-15.0,15,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,has_number,model_native,-16.0,16,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,has_question,model_native,-17.0,17,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,has_ai_word,model_native,-18.0,18,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,has_finance_word,model_native,-19.0,19,,,,,,,
shallow_tree-future_log_views_delta_7d-20260504T191601Z,shallow_tree,future_log_views_delta_7d,metadata_changed,model_native,-20.0,20,,,,,,,
